  Average Equal Weighted Returns -- Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199011,2.16,1.73,1.7,2.23,3.76,10,6.66,4.28,4.83,8.03,8.79,10.24,6.15,6.03,7.49,12.19,11.13,9.12,4.65,6.17,17.07,7.13,7.39,5.5,4.93
199012,-4.23,1.47,0.11,0.97,3.11,3.85,4.74,3.61,4.93,5.38,6.78,4.23,4.29,6.06,4.41,5.33,6.08,5.68,3.28,0.71,5.18,6.45,3.81,2.61,1.34
199101,11.83,6.72,5.24,4.35,4.66,8.21,6.12,4.85,1.91,9.28,6.81,4.36,6.8,5.32,9.73,10,3.83,3.8,2.36,7.91,12.03,6.13,4.04,2.25,5.88
199102,17.94,12.01,9.91,7.49,11.78,13.07,13.04,9.3,9.28,9.06,15.54,10.69,8.99,7.97,11.14,11.03,9.5,9.11,7.32,8.27,8.15,5.63,6.51,5.8,7.83
199103,8.09,5.36,5.33,9.97,12.94,3.98,5.83,4.64,7.55,10.19,3.63,2.54,3.07,3.85,8.35,1.96,1.7,2.22,4.19,6.92,2.25,1.42,1.3,3.29,5.41
199104,1.4,2.81,3.1,1.82,2.62,-1.47,1.36,1.36,1.78,-1.63,2.16,1.25,0.73,1.22,0.06,1.92,-0.21,1.68,0.83,-3.44,3.2,0.52,0.67,0.98,-0.93
199105,1.46,2.85,1.99,5.73,4.08,1.9,4.12,4.44,2.53,5.48,4.63,3.5,3.15,2.78,6.02,4.83,3.09,3.29,3.8,5.14,6.62,4.9,4.23,3.87,5.46
199106,-3.71,-2.09,-1.16,-2.42,-2.26,-3.38,-1.16,-3.09,-3.56,-5.98,-2.97,-3.96,-1.11,-2.48,-5.07,-3.07,-3.96,-3.18,-3.71,-4.78,-7.34,-5.99,-4.82,-3.91,-4.36
199107,0.21,1.06,2.69,2.33,4.6,0.68,2.05,2.23,3.93,5.88,2.22,2.89,2.24,3.41,9.04,3.3,2.76,1.76,4.75,7.59,5.52,3.4,2.84,6.3,7.02
199108,1.19,1.66,2.7,2.44,3.14,0.4,1.45,2.77,3.69,6.2,2.73,3.34,3.03,2.23,6.59,2.82,1.59,1.6,2.49,3.41,5.18,1.92,1.46,3.04,3.45
199109,-1.04,1.99,-0.94,-0.18,3.86,-1.57,-1.06,-0.1,1.43,3.12,-2.84,-0.1,-0.66,-0.33,1.91,-3.14,-0.59,-0.86,-1.08,-0.4,-1.53,-2,-0.22,-0.82,-0.11
199110,1.59,2.15,2.52,2.39,5.67,1.25,1.92,0.81,2.54,4.75,1.27,2.89,2.93,2.3,4.9,1.62,1.49,1.52,3.91,3.27,1.11,1.87,1.62,3.17,2.69
199111,-2.43,-0.52,-1.27,-2.73,-0.86,-5.59,-3.51,-3.34,-3.49,-4.92,-5.89,-2.96,-3.25,-3.14,-7.48,-5.2,-2.9,-3.45,-4.16,-3.62,-5.95,-3,-2.2,-4.84,-5.97
